,bandwidth,N,function,time,holdout_likelihood
0,kdenetwork_scv,100,asymmetric bimodal,22.28796410560608,-65.41760024721133
0,kdenetwork_PI,100,asymmetric bimodal,10.135749816894531,-65.41760024721133
0,kde_network_normal_rule,100,asymmetric bimodal,0.0050106048583984375,-56.963870696615885
0,SP_network_ucv,100,asymmetric bimodal,0.08292341232299805,-55.29602221540528
0,SP_network_bcv,100,asymmetric bimodal,1.4242215156555176,-59.25092995877308
0,SP_network_scv,100,asymmetric bimodal,8.228317737579346,-59.25092995877308
0,SP_network_PI,100,asymmetric bimodal,1.6917569637298584,-59.25092995877308
0,SP_network_normal_rule,100,asymmetric bimodal,0.002991914749145508,-56.485753142876746
0,kdenetwork_ucv,100,kurtotic,0.071807861328125,-68.33263204780849
0,kdenetwork_bcv,100,kurtotic,15.084660053253174,-69.34547723763944
0,kdenetwork_scv,100,kurtotic,22.232545375823975,-69.34547723763944
0,kdenetwork_PI,100,kurtotic,10.11495065689087,-69.34547723763944
0,kde_network_normal_rule,100,kurtotic,0.003989696502685547,-67.60468381343574
0,SP_network_ucv,100,kurtotic,0.059839725494384766,-66.37744921087922
0,SP_network_bcv,100,kurtotic,2.477375030517578,-66.90098954013564
0,SP_network_scv,100,kurtotic,29.392398834228516,-67.24677644190854
0,SP_network_PI,100,kurtotic,3.382953643798828,-67.24677644190854
0,SP_network_normal_rule,100,kurtotic,0.003989696502685547,-66.37744921087922
0,kdenetwork_ucv,100,separated_bimodal,0.16356277465820312,-46.77149878509195
0,kdenetwork_bcv,100,separated_bimodal,12.84712815284729,-81.24510852017437
0,kdenetwork_scv,100,separated_bimodal,59.44253873825073,-81.24510852017437
0,kdenetwork_PI,100,separated_bimodal,4.959736585617065,-81.24510852017437
0,kde_network_normal_rule,100,separated_bimodal,0.00498652458190918,-59.57449042097967
0,SP_network_ucv,100,separated_bimodal,0.10272526741027832,-46.77149878509195
0,SP_network_bcv,100,separated_bimodal,4.857726097106934,-69.57704062543954
0,SP_network_scv,100,separated_bimodal,13.142853498458862,-61.75225354179237
0,SP_network_PI,100,separated_bimodal,3.304163932800293,-69.57704062543954
0,SP_network_normal_rule,100,separated_bimodal,0.008975982666015625,-59.57449042097967
0,kdenetwork_ucv,100,asymmetric bimodal,0.1934828758239746,-50.39404999700089
0,kdenetwork_bcv,100,asymmetric bimodal,5.315784454345703,-63.35964411992034
0,kdenetwork_scv,100,asymmetric bimodal,21.436673641204834,-63.35964411992034
